Event ID,Number Affected,Event Start Date,Event End Date,Counties (or equivalent),Species,Event Diagnosis
202687,37,10/4/2022,10/12/2022,"Aitkin County, MN",Canada Goose; Trumpeter Swan,Highly Pathogenic Avian Influenza (AI virus H5N1); Undetermined
202649,2,8/22/2022,8/22/2022,"Dakota County, MN",Eastern Cottontail Rabbit,Undetermined
202639,10,8/25/2022,9/7/2022,"Wabasha County, MN",American White Pelican; Canada Goose,Undetermined
202504,32,7/18/2022,9/21/2022,"Marshall County, MN",American White Pelican; Blue-winged Teal; Ring-billed Gull,Highly Pathogenic Avian Influenza (AI virus H5N1); Undetermined
202434,13,6/26/2022,6/28/2022,"Olmsted County, MN",Big Brown Bat,Undetermined
202200,1,5/1/2022,5/1/2022,"St Louis County, MN",Hooded Merganser,Highly Pathogenic Avian Influenza (AI virus H5N1); Undetermined
202184,11,4/10/2022,4/26/2022,"Aitkin County, MN",Rock Dove; Unidentified Blackbird/Icterid; Ruffed Grouse; Cooper's Hawk,Blunt Trauma (not otherwise specified) suspect; Undetermined
202123,124,12/1/2021,12/1/2021,"Renville County, MN",House Sparrow; Northern Cardinal,Emaciation (not otherwise specified); Salmonellosis
202031,706,3/22/2022,4/28/2022,"Houston County, MN",Lesser Scaup; American Coot; Canada Goose; Bufflehead; Unidentified Gull; Trumpeter Swan; Great Horned Owl,Highly Pathogenic Avian Influenza (AI virus H5N1); Trematodiasis (Cyathocotyle bushiensis); Trematodiasis (Leyogonimus polyoon); Trematodiasis (Sphaeridiotrema sp.)
202008,1,3/25/2022,3/25/2022,"Dakota County, MN",Canada Goose,Highly Pathogenic Avian Influenza (AI virus H5N1); Undetermined
202007,1,3/25/2022,3/25/2022,"Hennepin County, MN",Wood Duck,Highly Pathogenic Avian Influenza (AI virus H5N1); Undetermined
201997,1,3/20/2022,3/20/2022,"Dakota County, MN",Bald Eagle,Highly Pathogenic Avian Influenza (AI virus H5N1); Undetermined
201990,50,3/21/2022,3/28/2022,"Wilkin County, MN",Snow Goose,Highly Pathogenic Avian Influenza (AI virus H5N1); Undetermined
201940,1,3/25/2022,3/25/2022,"Blue Earth County, MN",Canada Goose,Highly Pathogenic Avian Influenza (AI virus H5N1); Undetermined
201879,3,3/9/2022,3/16/2022,"Kandiyohi County, MN",Great Horned Owl; Red-tailed Hawk,Highly Pathogenic Avian Influenza (AI virus H5); Undetermined
201843,1,3/7/2022,3/7/2022,"Morrison County, MN",Barred Owl,Undetermined
201748,8,1/8/2022,2/7/2022,"Scott County, MN",Trumpeter Swan,Toxicosis (lead) suspect
201714,30,11/16/2021,11/16/2021,"Houston County, MN",American Coot; Unidentified Scaup,"Parasitism (Trematode, not otherwise specified) suspect"
201545,4,8/15/2021,10/31/2021,"Dakota County, MN",Gray Treefrog,Undetermined
201543,5,9/11/2021,9/29/2021,"Anoka County, MN",Blue Jay,Undetermined
201463,10,7/30/2021,7/31/2021,"Hennepin County, MN",Canada Goose,Drowning (not otherwise specified)
201450,28,7/22/2021,9/3/2021,"Hennepin County, MN",Mallard; Eastern Gray Squirrel; Great Blue Heron; Common Carp; Painted Turtle; Wood Duck,Botulism Type C
201310,1702,3/29/2021,5/5/2021,"Houston County, MN; La Crosse County, WI",American Coot; Unidentified Scaup; Northern Shoveler; Mallard,"Parasitism (Trematode, not otherwise specified) suspect"
201287,22,5/12/2021,5/14/2021,"Faribault County, MN",Canada Goose; Unidentified Passerine,Undetermined
201264,270,4/29/2021,5/5/2021,"Big Stone County, MN",Snapping Turtle; Painted Turtle,Undetermined
201078,210,1/10/2021,2/5/2021,"Scott County, MN",Crappie; Bluegill; Mallard; Trumpeter Swan; Canada Goose,Toxicosis (lead)
200878,2219,9/10/2020,11/12/2020,"La Crosse County, WI; Houston County, MN",American Coot; Unidentified Scaup; Blue-winged Teal; Mallard,Trematodiasis (Cyathocotyle bushiensis); Trematodiasis (Sphaeridiotrema sp.)
200873,26,10/1/2020,10/2/2020,"Winona County, MN",Pine Siskin,Undetermined
200847,2500,9/26/2020,10/17/2020,"Wabasha County, MN",American Coot,Trematodiasis (Cyathocotyle bushiensis); Trematodiasis (Leyogonimus polyoon)
200693,470,7/15/2020,8/10/2020,"Beltrami County, MN",American White Pelican; Double-crested Cormorant,Emaciation (not otherwise specified); Salmonellosis; West Nile Virus
200639,48,6/29/2020,7/19/2020,"Douglas County, MN",Mudpuppy Salamander,Undetermined
200294,40,2/11/2020,2/11/2020,"Otter Tail County, MN",Big Brown Bat,Undetermined
200280,1,7/14/2019,7/14/2019,"Yellow Medicine County, MN",Bullsnake,Fungal Infection (integumentary)
200260,450,9/20/2019,11/5/2019,"Houston County, MN; La Crosse County, WI",American Coot; Lesser Scaup,Trematodiasis (Cyathocotyle bushiensis) suspect; Trematodiasis (Leyogonimus polyoon) suspect; Trematodiasis (Sphaeridiotrema globulus) suspect
200259,20,12/18/2019,12/27/2019,"Washington County, MN",Mallard,Trematodiasis (Sphaeridiotrema sp.)
200239,9,10/24/2019,11/1/2019,"Aitkin County, MN",Canvasback; Ring-necked Duck; Pied-billed Grebe; Redhead Duck; Ruddy Duck,Undetermined
200220,49,10/6/2019,10/8/2019,"Dakota County, MN",Double-crested Cormorant; Spiny Softshell Turtle; American White Pelican; Great Egret; Ring-billed Gull,Undetermined
200169,316,7/30/2019,8/1/2019,"Lac Qui Parle County, MN",American White Pelican; Double-crested Cormorant; Canada Goose,West Nile Virus
200158,165,7/21/2019,8/23/2019,"Meeker County, MN",Double-crested Cormorant; American White Pelican,Salmonellosis; West Nile Virus
200156,7,7/15/2019,7/18/2019,"Otter Tail County, MN",Mudpuppy Salamander,Septicemia
200136,36,5/1/2019,8/31/2019,"Aitkin County, MN; Crow Wing County, MN; Itasca County, MN; Lake County, MN; St Louis County, MN",Common Loon,West Nile Virus
200134,1,9/2/2018,9/2/2018,"Wright County, MN",Common Loon,Emaciation (not otherwise specified)
200127,76,6/24/2019,8/10/2019,"Wright County, MN",Double-crested Cormorant; Canada Goose,Newcastle Disease
200119,4,3/1/2019,4/30/2019,"Lake County, MN",Little Brown Bat,White-nose Syndrome
200108,1,9/19/2018,9/19/2018,"Aitkin County, MN",Bald Eagle,Electrocution (power line)
200096,206,5/27/2019,5/27/2019,"Becker County, MN",Mudpuppy Salamander,Undetermined
200091,80,5/25/2019,6/18/2019,"Houston County, MN",Snapping Turtle; Painted Turtle; Unidentified Turtle,Bacterial Infection (not otherwise specified)
200072,706,4/9/2019,5/10/2019,"La Crosse County, WI; Houston County, MN",Lesser Scaup; Ruddy Duck; Common Goldeneye,Trematodiasis (Cyathocotyle bushiensis); Trematodiasis (Sphaeridiotrema sp.)
200037,23,3/1/2019,4/12/2019,"Anoka County, MN; Dakota County, MN; Ramsey County, MN; Washington County, MN",Trumpeter Swan,Toxicosis (lead)
200005,1,8/27/2018,8/27/2018,"Marshall County, MN",Double-crested Cormorant,Newcastle Disease
170442,53,10/4/2018,10/7/2018,"St Louis County, MN",Unidentified Avian,Toxicosis (ethanol) suspect
170440,17,11/27/2018,11/27/2018,"Olmsted County, MN",Cedar Waxwing,Toxicosis (ethanol) suspect; Trauma (not otherwise specified)
170428,132,10/12/2018,10/20/2018,"Stearns County, MN; Rice County, MN; Scott County, MN",Barn Swallow,Emaciation (starvation) suspect
170417,11,9/13/2018,9/14/2018,"Dakota County, MN",Mallard,Botulism Type C
170416,2,4/4/2016,4/30/2016,"Washington County, MN",Little Brown Bat,White-nose Syndrome
170401,1322,8/31/2018,11/13/2018,"Houston County, MN; La Crosse County, WI",Lesser Scaup; American Coot; Bufflehead; Blue-winged Teal; Canvasback; Ring-billed Gull,Undetermined; Trematodiasis (Cyathocotyle bushiensis); Trematodiasis (Sphaeridiotrema sp.); Emaciation (not otherwise specified)
170400,50,8/15/2018,9/5/2018,"Cass County, MN",Double-crested Cormorant,Undetermined
170380,39,8/20/2018,8/27/2018,"Faribault County, MN",Double-crested Cormorant; American White Pelican; Unidentified Gull,Undetermined
170371,35,8/9/2018,8/24/2018,"Hennepin County, MN",Mallard,Botulism Type C
170360,95,8/7/2018,8/10/2018,"Otter Tail County, MN",Double-crested Cormorant,Newcastle Disease
170359,21,7/30/2018,8/10/2018,"Lake County, MN",Herring Gull,Bacterial Infection (Bisgaard)
170356,21,7/1/2018,7/16/2018,"Mahnomen County, MN",American Crow; Blue Jay,West Nile Virus
170338,1,4/11/2018,4/30/2018,"Winona County, MN",Little Brown Bat,White-nose Syndrome
170337,1,2/21/2018,4/30/2018,"Wabasha County, MN",Little Brown Bat,White-nose Syndrome
170335,2,4/7/2017,4/30/2017,"Itasca County, MN",Little Brown Bat,White-nose Syndrome
170333,2,4/19/2017,4/30/2017,"Ramsey County, MN",Little Brown Bat; Northern Long-Eared Bat,White-nose Syndrome
170332,1,3/19/2017,4/30/2017,"Pine County, MN",Little Brown Bat,White-nose Syndrome; Trauma (not otherwise specified)
170325,3,3/22/2017,4/30/2017,"Olmsted County, MN",Little Brown Bat,White-nose Syndrome
170324,1,2/25/2017,4/30/2017,"Hennepin County, MN",Little Brown Bat,White-nose Syndrome
170319,1107,6/21/2018,8/1/2018,"Otter Tail County, MN",Mudpuppy Salamander,Bacterial Infection (multisystemic)
170316,1,2/12/2017,4/30/2017,"Dakota County, MN",Little Brown Bat,White-nose Syndrome
170307,27,4/25/2018,5/11/2018,"Freeborn County, MN",American Coot; Canada Goose; Blue-winged Teal; Mallard; Gadwall; Wood Duck,Toxicosis (lead)
170292,104,4/17/2018,4/27/2018,"Kandiyohi County, MN",American Coot,Pneumonia
170288,1900,3/29/2018,5/4/2018,"La Crosse County, WI; Houston County, MN",Lesser Scaup; American Coot,Trematodiasis (Leyogonimus polyoon); Trematodiasis (Cyathocotyle bushiensis); Trematodiasis (Sphaeridiotrema sp.)
170287,201,3/19/2018,3/23/2018,"Scott County, MN",Mallard; Canada Goose,Undetermined; Drowning (not otherwise specified) suspect
170229,140,1/7/2018,2/1/2018,"Dakota County, MN",Mallard,Aspergillosis
170194,250,10/4/2017,11/8/2017,"Houston County, MN; La Crosse County, WI",American Coot; Lesser Scaup,Trematodiasis (Leyogonimus polyoon); Trematodiasis (Cyathocotyle bushiensis)
170151,1,2/1/2016,4/30/2016,"St Louis County, MN",Unidentified Bat,White-nose Syndrome
170122,63,7/24/2017,7/29/2017,"Hennepin County, MN",Mallard; House Sparrow,Undetermined
170117,47,7/18/2017,7/24/2017,"Crow Wing County, MN",Ring-billed Gull; Double-crested Cormorant; Canada Goose,Botulism Type C
170108,20,7/12/2017,7/19/2017,"Becker County, MN",Mudpuppy Salamander,Undetermined
170100,30,4/1/2017,5/10/2017,"Olmsted County, MN; Yellow Medicine County, MN; Blue Earth County, MN; Aitkin County, MN; Pope County, MN; Kandiyohi County, MN; Dodge County, MN; Winona County, MN",Raccoon; Coyote,Canine Distemper
170096,215,3/8/2017,4/30/2017,"Fillmore County, MN",Little Brown Bat; Eastern Pipistrelle (AKA Tricolored) Bat,White-nose Syndrome suspect
170083,124,2/11/2017,4/30/2017,"Fillmore County, MN",Little Brown Bat,White-nose Syndrome
170049,80,2/18/2017,4/30/2017,"Goodhue County, MN",Little Brown Bat,White-nose Syndrome
170028,3151,4/6/2017,5/4/2017,"Houston County, MN; La Crosse County, WI",American Coot; Lesser Scaup; Ruddy Duck,Trematodiasis (Sphaeridiotrema sp.); Trematodiasis (Cyathocotyle bushiensis)
170018,17,2/27/2017,2/27/2017,"Carver County, MN",Snow Goose,Penetrating Trauma (gunshot)
170008,5,1/21/2017,1/23/2017,"Otter Tail County, MN",Trumpeter Swan,Undetermined
160264,1000,4/15/2016,4/30/2016,"Winona County, MN",American Coot,"Parasitism (Trematode, not otherwise specified) suspect"
160263,6,11/1/2016,3/1/2017,"Carver County, MN",Trumpeter Swan,Undetermined; Toxicosis (lead)
160208,7254,9/9/2016,11/30/2016,"Winona County, MN; La Crosse County, WI; Houston County, MN; Wabasha County, MN",American Coot; Blue-winged Teal; Lesser Scaup; Ring-necked Duck,Trematodiasis (Leyogonimus polyoon); Trematodiasis (Cyathocotyle bushiensis); Trematodiasis (Sphaeridiotrema sp.)
160183,35,5/24/2016,7/27/2016,"St Louis County, MN; Ashland County, WI",Common Tern,Bacterial Infection (Bisgaard); Bacterial Infection (not otherwise specified)
160169,50,8/5/2016,8/5/2016,"Otter Tail County, MN",Double-crested Cormorant,Undetermined
160165,12,7/4/2016,8/1/2016,"Becker County, MN",Mudpuppy Salamander,Anemia suspect; Emaciation (not otherwise specified) suspect
160164,22,7/28/2016,8/1/2016,"Lake County, MN",Unidentified Gull; Herring Gull,Bacterial Infection (not otherwise specified)
160159,60,7/14/2016,8/15/2016,"Pope County, MN",American White Pelican; Double-crested Cormorant; American Bittern,Newcastle Disease
160158,15,7/26/2016,8/19/2016,"Rice County, MN",Double-crested Cormorant,Newcastle Disease
160157,27,7/22/2016,8/17/2016,"Blue Earth County, MN",Double-crested Cormorant; Western Grebe,Salmonellosis
160152,3197,7/16/2016,9/1/2016,"Big Stone County, MN",Ring-billed Gull; American White Pelican; Double-crested Cormorant; Canada Goose; Great Egret,Newcastle Disease; West Nile Virus; Botulism Type C; Septicemia; Salmonellosis; Undetermined
160151,200,7/15/2016,8/5/2016,"Mille Lacs County, MN",Double-crested Cormorant,Newcastle Disease
160148,13,6/24/2016,7/31/2016,"Blue Earth County, MN",Canada Goose,Undetermined
160142,27,12/15/2015,3/14/2016,"Rice County, MN",Unidentified Frog; Northern Leopard Frog,Chytridiomycosis (Batrachochytrium dendrobatidis) suspect
160095,4800,3/25/2016,5/4/2016,"La Crosse County, WI; Houston County, MN",American Coot; Lesser Scaup,Trematodiasis (Leyogonimus polyoon); Trematodiasis (Sphaeridiotrema sp.)
160053,30,3/5/2016,3/7/2016,"Waseca County, MN",House Sparrow,Salmonellosis
160052,8,3/7/2016,3/7/2016,"Steele County, MN",Rock Dove,Penetrating Trauma (gunshot)
160051,16,2/27/2016,3/2/2016,"Le Sueur County, MN",Northern Leopard Frog,Chytridiomycosis (Batrachochytrium dendrobatidis)
160036,392,1/15/2016,4/30/2016,"St Louis County, MN",Little Brown Bat; Northern Long-Eared Bat,White-nose Syndrome
160029,13,1/23/2016,2/29/2016,"Washington County, MN",Mallard; Canada Goose,Undetermined; Toxicosis (lead); Bacterial Infection (Escherichia coli)
17359,900,9/28/2015,12/1/2015,"La Crosse County, WI; Houston County, MN",American Coot; Lesser Scaup; Bufflehead,Trematodiasis (Sphaeridiotrema sp.); Trematodiasis (Cyathocotyle bushiensis); Trematodiasis (Leyogonimus polyoon)
17333,10,9/7/2015,9/8/2015,"Stearns County, MN",Mallard,Undetermined
17332,1,6/10/2015,6/10/2015,"Ramsey County, MN",Black-capped Chickadee,Highly Pathogenic Avian Influenza (AI virus H5); Undetermined
17300,1,4/14/2015,4/14/2015,"Yellow Medicine County, MN",Cooper's Hawk,Highly Pathogenic Avian Influenza (AI virus H5N2)
17291,15,8/1/2015,8/24/2015,"Otter Tail County, MN",Mallard,Emaciation (not otherwise specified); Parasitism (not otherwise specified)
17290,8,8/11/2015,8/11/2015,"Itasca County, MN",Little Brown Bat,Trauma (predation or aggression)
17283,5,7/1/2015,7/13/2015,"Stevens County, MN",Brewer's Blackbird,Undetermined
17270,525,7/31/2015,8/15/2015,"Lake Of The Woods County, MN",Ring-billed Gull,Emaciation (not otherwise specified)
17264,6,7/29/2015,7/30/2015,"Hennepin County, MN",Mallard; Unidentified Turtle,Botulism Type C
17248,15,7/1/2015,7/15/2015,"Douglas County, MN",Unidentified Avian; Rose-breasted Grosbeak,Undetermined
17245,32,7/18/2015,7/20/2015,"Wright County, MN",American Goldfinch; American Robin; Unidentified Sparrow,Undetermined
17210,8,4/6/2015,6/3/2015,"Renville County, MN",European Starling,Trauma (not otherwise specified) suspect
17168,50,5/15/2015,5/15/2015,"Mahnomen County, MN",American Coot; Lincoln's Sparrow; Ovenbird; Sora Rail; Unidentified Avian; Virginia Rail; Western Palm Warbler,Trauma (not otherwise specified)
17161,150,5/5/2015,5/28/2015,"Fillmore County, MN",Rock Dove,Penetrating Trauma (gunshot); Undetermined
17160,200,4/27/2015,5/15/2015,"Otter Tail County, MN",American Coot,"Parasitism (not otherwise specified); Trematodiasis (Leyogonimus polyoon); Parasitism (Notocotylus sp.); Parasitism (Acanthocephalan, not otherwise specified)"
17154,12,4/26/2015,5/15/2015,"Roseau County, MN",American Coot,Emaciation (not otherwise specified); Parasitism (gastrointestinal/hepatic)
17152,100,4/20/2015,4/27/2015,"Winona County, MN",American Coot,Trematodiasis (Cyathocotyle bushiensis); Trematodiasis (Leyogonimus polyoon); Parasitism (Notocotylus sp.)
17141,1817,4/8/2015,5/11/2015,"Houston County, MN",American Coot; Lesser Scaup; Bufflehead; Hooded Merganser,Trematodiasis (Sphaeridiotrema sp.); Trematodiasis (Cyathocotyle bushiensis); Trematodiasis (Leyogonimus polyoon)
17140,12,4/12/2015,4/12/2015,"Pennington County, MN",Rusty Blackbird; Common Grackle,Blunt Trauma (not otherwise specified)
17074,7,10/20/2014,10/20/2014,"Meeker County, MN",Double-crested Cormorant,Blunt Trauma (not otherwise specified); Salmonellosis
17044,102,9/6/2014,11/22/2014,"Houston County, MN",American Coot; Lesser Scaup,"Parasitism (Trematode, not otherwise specified); Trematodiasis (Leyogonimus polyoon); Trematodiasis (Cyathocotyle bushiensis); Parasitism (Notocotylus sp.)"
17013,200,6/1/2014,8/15/2014,"Becker County, MN",Mudpuppy Salamander,Undetermined
17012,12,6/12/2014,8/15/2014,"Becker County, MN",Mudpuppy Salamander,Undetermined
16965,81,8/1/2014,9/30/2014,"Cass County, MN",Unidentified Gull; Double-crested Cormorant,Avian Paramyxovirus-1 suspect
16964,44,8/1/2014,8/15/2014,"Big Stone County, MN",Ring-billed Gull; American White Pelican; Double-crested Cormorant,West Nile Virus; Emaciation (not otherwise specified); Salmonellosis; Circovirus suspect; Fungal Infection (respiratory); Coccidioidomycosis
16946,70,7/17/2014,8/5/2014,"Fillmore County, MN",Big Brown Bat,Emaciation (not otherwise specified)
16944,40,7/15/2014,9/30/2014,"Meeker County, MN",Double-crested Cormorant; American White Pelican; Killdeer; Unidentified Gull,Newcastle Disease; Avian Cholera
16918,14,6/7/2014,6/7/2014,"Lake County, MN",Double-crested Cormorant,Penetrating Trauma (gunshot)
16884,755,4/11/2014,5/15/2014,"Houston County, MN",Lesser Scaup; American Coot; Northern Shoveler; Bufflehead; Ruddy Duck,"Parasitism (Trematode, not otherwise specified); Trematodiasis (Cyathocotyle bushiensis); Trematodiasis (Sphaeridiotrema sp.); Trematodiasis (Leyogonimus polyoon)"
16781,10,10/29/2013,11/15/2013,"Itasca County, MN",American Coot; Lesser Scaup,"Parasitism (Trematode, not otherwise specified); Trematodiasis (Cyathocotyle bushiensis); Trematodiasis (Sphaeridiotrema sp.)"
16778,279,10/24/2013,11/6/2013,"Houston County, MN",American Coot; Lesser Scaup; Bufflehead; Northern Shoveler,"Parasitism (Trematode, not otherwise specified); Trematodiasis (Cyathocotyle bushiensis); Trematodiasis (Leyogonimus polyoon)"
16753,36,8/20/2013,8/21/2013,"Blue Earth County, MN",Little Brown Bat,Emaciation (not otherwise specified)
16665,5505,4/8/2013,5/8/2013,"Houston County, MN",American Coot; Lesser Scaup; Ring-necked Duck; Ruddy Duck; Bufflehead; Northern Shoveler; Common Goldeneye,"Parasitism (Trematode, not otherwise specified); Trematodiasis (Sphaeridiotrema sp.); Trematodiasis (Cyathocotyle bushiensis); Trematodiasis (Leyogonimus polyoon)"
16571,70,8/10/2012,8/30/2012,"Otter Tail County, MN",Double-crested Cormorant,Newcastle Disease
16560,11,11/1/2012,12/1/2012,"Itasca County, MN",Lesser Scaup; Ring-necked Duck; Mallard,"Parasitism (Trematode, not otherwise specified)"
16550,65,8/13/2012,8/31/2012,"Grant County, MN",Unidentified Avian; Double-crested Cormorant; Great Blue Heron; Canada Goose; Unidentified Egret; Ring-billed Gull,Newcastle Disease
16547,59,10/19/2012,12/1/2012,"Itasca County, MN",Unidentified Scaup; Lesser Scaup; American Coot; Greater Scaup,"Parasitism (Trematode, not otherwise specified)"
16533,40,8/10/2012,9/30/2012,"Mille Lacs County, MN",Double-crested Cormorant; Common Loon; Mallard,Newcastle Disease
16531,250,8/1/2012,9/15/2012,"Faribault County, MN",American White Pelican; Double-crested Cormorant,Newcastle Disease
16530,5,8/2/2012,8/15/2012,"Hubbard County, MN",Double-crested Cormorant,Newcastle Disease
16529,300,8/3/2012,8/15/2012,"Rice County, MN",Double-crested Cormorant,Newcastle Disease
16528,375,8/13/2012,8/31/2012,"Crow Wing County, MN",Ring-billed Gull; Double-crested Cormorant; Great Blue Heron,Newcastle Disease
16525,4585,9/17/2012,12/26/2012,"Houston County, MN",Lesser Scaup; American Coot; Blue-winged Teal; Bufflehead; Ruddy Duck; Ring-necked Duck; Sora Rail,"Parasitism (Trematode, not otherwise specified); Trematodiasis (Cyathocotyle bushiensis); Trematodiasis (Sphaeridiotrema globulus)"
16490,800,7/16/2012,9/1/2012,"Meeker County, MN",Double-crested Cormorant; American White Pelican; Great Blue Heron; Ring-billed Gull,Newcastle Disease; Botulism Type C; Bacterial Infection (Erysipelothrix rhusiopathae); West Nile Virus; Salmonellosis
16488,18,7/11/2012,7/17/2012,"Ramsey County, MN",Canada Goose,Botulism Type C
16481,2360,7/18/2012,8/31/2012,"Lac Qui Parle County, MN",American White Pelican; Ring-billed Gull; Double-crested Cormorant,Botulism Type C; West Nile Virus
16446,31,6/30/2012,8/1/2012,"Dakota County, MN",Mallard,Botulism Type C
16423,1000,5/1/2012,6/15/2012,"Becker County, MN",Mudpuppy Salamander,Undetermined
16415,15,3/29/2012,4/12/2012,"Sherburne County, MN",Trumpeter Swan,Toxicosis (lead)
16407,250,4/22/2012,5/5/2012,"Itasca County, MN",Greater Scaup; Lesser Scaup,Trematodiasis (Cyathocotyle bushiensis); Trematodiasis (Sphaeridiotrema sp.)
16402,100,4/15/2012,4/16/2012,"McLeod County, MN",Northern Leopard Frog,Chytridiomycosis (Batrachochytrium dendrobatidis)
